Time (s),Illuminance (lx)
7.89E+01,6.30E+01
7.91E+01,6.20E+01
7.93E+01,6.30E+01
8.11E+01,6.40E+01
8.39E+01,6.30E+01
8.49E+01,6.20E+01
8.51E+01,6.10E+01
8.55E+01,6.00E+01
8.61E+01,5.90E+01
8.63E+01,5.80E+01
8.65E+01,5.70E+01
8.69E+01,5.60E+01
8.73E+01,5.50E+01
8.81E+01,5.40E+01
8.96E+01,5.30E+01
8.98E+01,5.20E+01
9.00E+01,5.10E+01
9.04E+01,5.00E+01
9.10E+01,4.90E+01
9.18E+01,4.80E+01
9.20E+01,4.50E+01
9.22E+01,4.20E+01
9.24E+01,4.10E+01
9.28E+01,3.90E+01
9.30E+01,3.60E+01
9.32E+01,3.40E+01
9.34E+01,3.30E+01
9.36E+01,3.10E+01
9.38E+01,2.80E+01
9.62E+01,2.70E+01
9.64E+01,2.60E+01
9.76E+01,2.50E+01
9.78E+01,2.40E+01
9.88E+01,2.30E+01
1.00E+02,2.20E+01
1.00E+02,2.00E+01
1.01E+02,1.90E+01
1.01E+02,1.80E+01
1.01E+02,1.70E+01
1.01E+02,1.60E+01
1.02E+02,1.40E+01
1.02E+02,1.20E+01
1.03E+02,1.10E+01
1.03E+02,1.00E+01
1.03E+02,9.00E+00
1.05E+02,8.00E+00
1.05E+02,7.00E+00
1.06E+02,6.00E+00
1.07E+02,5.00E+00
1.14E+02,6.00E+00
1.14E+02,7.00E+00
1.15E+02,8.00E+00
1.15E+02,7.00E+00
1.16E+02,6.00E+00
