Time (s),Illuminance (lx)
398.7350652,270
398.9350888,272
399.735082,273
400.1350804,274
400.5351274,273
401.1350882,272
403.1350888,273
403.7350809,272
403.9350802,271
404.5350814,270
405.3350882,271
405.5350804,270
406.7350802,269
407.3350807,268
407.9350812,266
409.9351243,265
411.1350809,264
413.1350733,265
413.7350882,266
413.9350812,265
414.1350804,266
414.3350822,265
415.5350885,266
416.3350802,264
417.3350804,263
417.7350809,264
417.9350809,263
418.3350813,264
418.5350801,263
418.7350809,264
420.5350807,265
420.9350804,264
421.3350804,265
421.5350802,266
421.7350812,267
422.1350813,268
422.3350807,267
423.1350888,265
423.3350802,262
423.5350804,260
423.735066,259
424.1350812,258
424.3351096,259
426.3351281,251
426.5351318,243
426.7350887,241
426.9350806,238
427.1350804,237
427.5350805,238
427.7350802,239
427.9350802,240
428.1350885,242
428.3350812,244
428.7350802,243
429.335089,242
429.7350885,243
430.835136,242
431.0351264,220
431.235131,197
431.4351333,195
431.6351253,190
431.8351318,182
432.0350822,177
432.2350804,174
432.4350809,171
432.6350734,167
432.8350888,164
433.0350801,162
433.2350885,160
433.4350807,159
433.8350812,160
434.0350802,161
434.2350804,162
434.4350804,161
434.6350888,160
435.0350802,159
435.2350812,160
435.8350885,163
436.0350733,166
436.2350771,169
436.4350884,171
436.6350804,172
436.8350801,173
437.0350887,172
437.4350812,173
437.635089,174
437.8350888,176
438.0350884,181
438.2350812,186
438.4350801,189
438.6350888,191
439.035089,192
439.8350716,169
440.0350804,142
440.2350804,137
440.4350804,135
440.6350804,133
440.8350804,132
441.2350804,130
441.435082,128
441.635089,125
441.8350825,124
442.2350801,126
442.4350802,127
442.6350807,129
442.8350805,131
443.0350807,132
443.8750802,117
444.075089,85
444.2750641,68
444.6750801,67
444.8750809,68
445.2750807,67
445.47508,68
446.675089,67
447.0750802,68
447.275081,69
449.4750884,68
449.6750809,66
449.8750822,62
450.0750801,60
450.2750801,58
450.6750841,57
450.8750846,56
451.0750839,55
451.6750842,56
451.8750839,55
452.0750839,56
452.8750838,55
453.0750842,54
453.8750847,53
454.0750838,54
454.2750838,53
454.4750836,54
455.8751298,55
456.0751353,56
456.2751378,58
456.475129,60
456.6751405,62
456.8751345,63
457.6751365,64
458.0751077,65
458.8750838,66
459.0750917,67
459.2750847,68
459.4750834,69
459.875092,51
460.075092,17
460.2750919,2
460.675092,1
466.8750836,2
467.0750836,1
469.6750857,2
470.4750857,1
470.875087,2
471.6750847,1
471.8750842,2
472.8750844,1
