Time (s),Illuminance (lx)
1.23E+02,9.00E+01
1.23E+02,8.90E+01
1.24E+02,8.80E+01
1.25E+02,8.90E+01
1.25E+02,8.80E+01
1.26E+02,8.70E+01
1.26E+02,8.60E+01
1.27E+02,8.70E+01
1.27E+02,8.60E+01
1.28E+02,8.50E+01
1.29E+02,8.40E+01
1.30E+02,8.30E+01
1.30E+02,8.20E+01
1.31E+02,8.10E+01
1.33E+02,8.00E+01
1.33E+02,8.10E+01
1.33E+02,8.00E+01
1.34E+02,8.10E+01
1.35E+02,8.00E+01
1.35E+02,7.90E+01
1.35E+02,7.80E+01
1.35E+02,7.70E+01
1.36E+02,7.60E+01
1.36E+02,7.50E+01
1.36E+02,7.40E+01
1.36E+02,7.30E+01
1.37E+02,7.20E+01
1.37E+02,7.10E+01
1.38E+02,7.00E+01
1.41E+02,6.90E+01
1.42E+02,7.00E+01
1.42E+02,6.90E+01
1.43E+02,7.00E+01
1.44E+02,7.10E+01
1.44E+02,7.00E+01
1.45E+02,7.10E+01
1.46E+02,7.00E+01
1.47E+02,7.10E+01
1.48E+02,7.20E+01
1.49E+02,7.30E+01
1.49E+02,7.20E+01
1.49E+02,6.70E+01
1.50E+02,6.30E+01
1.50E+02,6.20E+01
1.50E+02,6.10E+01
1.51E+02,5.90E+01
1.51E+02,5.70E+01
1.51E+02,5.60E+01
1.53E+02,5.50E+01
1.54E+02,5.60E+01
1.55E+02,5.30E+01
1.56E+02,4.80E+01
1.56E+02,4.70E+01
1.57E+02,4.60E+01
1.57E+02,4.70E+01
1.59E+02,4.50E+01
1.60E+02,4.20E+01
1.60E+02,4.00E+01
1.61E+02,3.90E+01
1.62E+02,4.00E+01
1.64E+02,4.10E+01
1.64E+02,4.00E+01
1.66E+02,3.60E+01
1.66E+02,3.00E+01
1.66E+02,2.70E+01
1.67E+02,2.80E+01
1.67E+02,2.70E+01
1.68E+02,2.80E+01
1.68E+02,2.70E+01
1.69E+02,2.40E+01
1.69E+02,2.20E+01
1.69E+02,2.10E+01
1.70E+02,2.20E+01
1.70E+02,2.10E+01
1.71E+02,1.90E+01
1.71E+02,1.60E+01
1.72E+02,1.50E+01
1.72E+02,1.40E+01
1.73E+02,1.30E+01
1.73E+02,1.20E+01
1.74E+02,1.10E+01
1.75E+02,1.20E+01
1.76E+02,1.10E+01
1.76E+02,9.00E+00
1.77E+02,8.00E+00
1.78E+02,7.00E+00
1.79E+02,8.00E+00
1.81E+02,7.00E+00
1.81E+02,8.00E+00
1.82E+02,7.00E+00
1.83E+02,8.00E+00
1.84E+02,7.00E+00
1.85E+02,6.00E+00
1.85E+02,5.00E+00
1.85E+02,4.00E+00
1.88E+02,3.00E+00
1.89E+02,2.00E+00
1.96E+02,1.00E+00
1.99E+02,2.00E+00
1.99E+02,1.00E+00
1.99E+02,2.00E+00
1.99E+02,1.00E+00
2.01E+02,2.00E+00
2.02E+02,1.00E+00
2.03E+02,2.00E+00
2.03E+02,1.00E+00
2.05E+02,2.00E+00
2.07E+02,1.00E+00
2.09E+02,2.00E+00
2.09E+02,2.10E+01
