Time (s),Illuminance (lx)
5.58E+02,9.50E+01
5.59E+02,9.40E+01
5.59E+02,9.30E+01
5.59E+02,9.20E+01
5.60E+02,9.10E+01
5.60E+02,9.00E+01
5.61E+02,9.20E+01
5.61E+02,9.40E+01
5.62E+02,9.50E+01
5.62E+02,9.40E+01
5.63E+02,9.50E+01
5.63E+02,9.60E+01
5.64E+02,9.50E+01
5.64E+02,9.40E+01
5.65E+02,9.10E+01
5.65E+02,8.40E+01
5.65E+02,8.00E+01
5.66E+02,8.10E+01
5.67E+02,8.20E+01
5.67E+02,8.30E+01
5.67E+02,8.20E+01
5.67E+02,8.10E+01
5.68E+02,7.10E+01
5.68E+02,6.10E+01
5.68E+02,6.00E+01
5.68E+02,5.90E+01
5.69E+02,6.00E+01
5.70E+02,6.10E+01
5.72E+02,5.30E+01
5.72E+02,4.30E+01
5.72E+02,4.20E+01
5.72E+02,4.00E+01
5.73E+02,4.10E+01
5.73E+02,4.20E+01
5.75E+02,4.30E+01
5.76E+02,3.90E+01
5.76E+02,2.90E+01
5.76E+02,2.40E+01
5.76E+02,2.30E+01
5.77E+02,2.40E+01
5.78E+02,2.00E+01
5.78E+02,1.40E+01
5.79E+02,1.20E+01
5.79E+02,1.10E+01
5.79E+02,1.20E+01
5.81E+02,1.00E+01
5.81E+02,8.00E+00
5.82E+02,7.00E+00
5.83E+02,5.00E+00
5.84E+02,4.00E+00
5.84E+02,3.00E+00
5.84E+02,2.00E+00
5.88E+02,3.00E+00
5.89E+02,2.00E+00
5.92E+02,1.00E+00
