"Time (s)","Illuminance (lx)"
1.725975210E-1,2.900000000E1
3.725983030E-1,3.600000000E1
5.725975730E-1,3.800000000E1
7.725977820E-1,3.900000000E1
9.726453340E-1,4.100000000E1
4.572600989E0,4.000000000E1
4.772600416E0,4.100000000E1
7.172602760E0,4.000000000E1
7.972601249E0,4.100000000E1
8.772601458E0,4.000000000E1
8.972600416E0,3.800000000E1
9.172601249E0,3.700000000E1
9.572594791E0,3.600000000E1
1.117260146E1,3.700000000E1
1.137260906E1,3.900000000E1
1.157260094E1,4.100000000E1
1.257260120E1,4.000000000E1
1.277260068E1,3.900000000E1
1.297260927E1,3.700000000E1
1.317260036E1,3.400000000E1
1.337260125E1,3.300000000E1
1.357260068E1,3.400000000E1
1.377260120E1,3.700000000E1
1.397260068E1,4.000000000E1
1.417260068E1,4.100000000E1
1.577265187E1,4.000000000E1
1.637265781E1,4.100000000E1
2.037260036E1,4.000000000E1
2.117260073E1,3.900000000E1
2.177260911E1,4.000000000E1
2.217260099E1,4.100000000E1
2.277258401E1,4.000000000E1
2.337260906E1,4.100000000E1
2.497260958E1,4.000000000E1
2.537258552E1,4.100000000E1
2.637260880E1,4.000000000E1
2.697260958E1,4.100000000E1
3.257260068E1,4.200000000E1
3.277260224E1,4.100000000E1
4.077260073E1,4.000000000E1
4.097260177E1,4.100000000E1
4.597260937E1,4.000000000E1
4.657260901E1,4.100000000E1
5.017260932E1,4.000000000E1
5.137264849E1,3.900000000E1
5.257264036E1,4.000000000E1
5.417260901E1,3.900000000E1
5.577260880E1,4.000000000E1
5.657260099E1,3.900000000E1
5.697260099E1,4.000000000E1
5.717260901E1,3.900000000E1
5.737260120E1,4.000000000E1
5.877261661E1,3.900000000E1
6.177260146E1,4.000000000E1
6.257260151E1,3.900000000E1
6.277260885E1,4.000000000E1
6.437260073E1,3.900000000E1
6.677259154E1,4.000000000E1
6.717263305E1,4.100000000E1
6.757264909E1,4.000000000E1
6.797265070E1,3.900000000E1
6.837265117E1,4.000000000E1
6.897261560E1,4.100000000E1
6.937260940E1,4.000000000E1
6.957258320E1,4.100000000E1
6.997260628E1,4.000000000E1
7.017259826E1,4.100000000E1
7.065259195E1,2.200000000E1
7.085263612E1,3.000000000E0
7.145264810E1,4.000000000E0
7.205265076E1,3.000000000E0
7.625260633E1,2.000000000E0
7.685259794E1,3.000000000E0
7.705260659E1,6.000000000E0
7.725259826E1,1.300000000E1
7.745259768E1,1.700000000E1
7.765259883E1,1.900000000E1
7.785259800E1,2.200000000E1
7.805259820E1,2.400000000E1
7.825260633E1,2.300000000E1
7.845259800E1,1.900000000E1
7.865260654E1,1.600000000E1
7.885258232E1,1.700000000E1
7.909259852E1,3.900000000E1
7.929259899E1,7.700000000E1
7.949259044E1,9.900000000E1
7.969259852E1,1.050000000E2
7.989259826E1,1.060000000E2
8.029259820E1,1.070000000E2
8.049259826E1,1.080000000E2
8.089259826E1,1.090000000E2
8.269264060E1,1.100000000E2
8.309263763E1,1.090000000E2
8.329264539E1,1.100000000E2
8.349265565E1,1.090000000E2
8.369265076E1,1.100000000E2
8.429264758E1,1.110000000E2
8.449261211E1,1.100000000E2
8.469261544E1,1.110000000E2
8.489259154E1,1.100000000E2
8.609259800E1,1.110000000E2
8.929259794E1,1.120000000E2
9.069258206E1,1.110000000E2
9.189260628E1,1.120000000E2
9.229260680E1,1.110000000E2
9.349258128E1,1.120000000E2
9.409259826E1,1.110000000E2
9.669259820E1,1.100000000E2
9.689259977E1,1.110000000E2
9.749259800E1,1.100000000E2
9.789259852E1,1.110000000E2
1.024925979E2,1.120000000E2
1.026926065E2,1.110000000E2
1.032925985E2,1.100000000E2
1.034926063E2,1.110000000E2
1.046925982E2,1.120000000E2
1.052925990E2,1.110000000E2
1.054925980E2,1.120000000E2
1.056926063E2,1.110000000E2
1.058925985E2,1.120000000E2
1.060926066E2,1.130000000E2
1.062925979E2,1.120000000E2
1.064925980E2,1.130000000E2
1.068926063E2,1.140000000E2
1.072926199E2,1.150000000E2
1.074926063E2,1.140000000E2
1.078925911E2,1.150000000E2
1.082926065E2,1.160000000E2
1.084926060E2,1.170000000E2
1.086925983E2,1.160000000E2
1.088926063E2,1.170000000E2
1.092926065E2,1.180000000E2
1.094925990E2,1.190000000E2
1.104926068E2,1.200000000E2
1.106925821E2,1.210000000E2
1.114925987E2,1.200000000E2
1.116925980E2,1.210000000E2
1.118925982E2,1.220000000E2
1.120925982E2,1.230000000E2
1.128925985E2,1.220000000E2
1.130925983E2,1.230000000E2
1.136925914E2,1.240000000E2
